fecha_corte;entidad;provincia;canton;segmento;por_vencer;no_devenga_intereses;vencida;total_saldo;archivo_origen
2026-01-31;BP PACIFICO;GALAPAGOS;SANTA CRUZ;CONSUMO;23141080.73;209059.81;83487.43;23433627.97;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;CORONEL MARCELINO MARIDUEÑA;CONSUMO;8920953.57;201362.67;50345.92;9172662.16;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;DAULE;CONSUMO;13130919.56;534003.49;138862.32;13803785.37;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;DURAN;CONSUMO;5747331.37;190199.33;78652.2;6016182.9;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;GUAYAQUIL;CONSUMO;1368016175.62;36766010.5;9717625.71;1414499811.83;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;MILAGRO;CONSUMO;38608325.12;1174199.82;323748.46;40106273.4;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;PLAYAS;CONSUMO;1561935.04;25214.49;9848.41;1596997.94;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;GUAYAS;SAMBORONDON;CONSUMO;35635216.49;989903.18;291641.96;36916761.63;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;IMBABURA;IBARRA;CONSUMO;73217343.1;3117669.39;724600.18;77059612.67;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;IMBABURA;OTAVALO;CONSUMO;18536493.75;855333.93;100196.93;19492024.61;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;LOJA;LOJA;CONSUMO;46110822.07;1862231.87;469381.11;48442435.05;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;LOS RIOS;BABAHOYO;CONSUMO;76336486.15;2799470.93;725284.4;79861241.48;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;LOS RIOS;QUEVEDO;CONSUMO;25835961.03;925748.67;366507.15;27128216.85;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;MANABI;MANTA;CONSUMO;136025409.82;4812278.72;1358543.67;142196232.21;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;MANABI;PORTOVIEJO;CONSUMO;68810491.2;2008986.11;449667.13;71269144.44;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;PASTAZA;PASTAZA;CONSUMO;1688096.85;52694.79;8771.01;1749562.65;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;PICHINCHA;CAYAMBE;CONSUMO;11613752.46;419556.24;75656.33;12108965.03;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;PICHINCHA;QUITO;CONSUMO;646559372.99;21504828.09;4365169.34;672429370.42;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;PICHINCHA;RUMIÑAHUI;CONSUMO;12617785.72;391229.29;58912.54;13067927.55;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;SANTA ELENA;LA LIBERTAD;CONSUMO;35335266.2;1346477.0;383041.75;37064784.95;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;CONSUMO;108090162.76;3640956.62;908061.07;112639180.45;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;TUNGURAHUA;AMBATO;CONSUMO;103455919.12;5033385.78;1017751.34;109507056.24;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PACIFICO;TUNGURAHUA;BAÑOS DE AGUA SANTA;CONSUMO;7967748.22;442387.37;67953.82;8478089.41;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;AZUAY;CUENCA;CONSUMO;43575122.09;2840792.66;1231106.92;47647021.67;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;AZUAY;GUALACEO;CONSUMO;4267334.3;146676.66;29829.04;4443840.0;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;AZUAY;PAUTE;CONSUMO;539322.05;35983.25;13550.04;588855.34;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;AZUAY;SANTA ISABEL;CONSUMO;221818.2;13330.66;14668.46;249817.32;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;BOLIVAR;CALUMA;CONSUMO;2761331.72;177170.2;120212.7;3058714.62;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;BOLIVAR;GUARANDA;CONSUMO;4945581.68;531934.84;258810.76;5736327.28;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;BOLIVAR;SAN MIGUEL;CONSUMO;382539.08;62752.84;7101.03;452392.95;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CAÑAR;AZOGUES;CONSUMO;1229407.2;99865.73;29040.2;1358313.13;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CAÑAR;CAÑAR;CONSUMO;597300.26;2450.97;9189.06;608940.29;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CAÑAR;LA TRONCAL;CONSUMO;1404127.75;230380.11;61398.33;1695906.19;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CARCHI;ESPEJO;CONSUMO;508571.96;49691.51;5590.53;563854.0;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CARCHI;MONTUFAR;CONSUMO;1748806.94;200293.23;73124.39;2022224.56;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CARCHI;TULCAN;CONSUMO;4514718.02;459069.51;128806.77;5102594.3;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CHIMBORAZO;ALAUSI;CONSUMO;1098459.78;96196.12;30834.38;1225490.28;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;CHIMBORAZO;RIOBAMBA;CONSUMO;14954173.84;1378062.19;472357.14;16804593.17;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;COTOPAXI;LA MANA;CONSUMO;2880868.42;198761.92;112630.51;3192260.85;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;COTOPAXI;LATACUNGA;CONSUMO;16033997.31;1738453.06;620518.42;18392968.79;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;COTOPAXI;PUJILI;CONSUMO;124802.23;52589.8;27771.02;205163.05;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;COTOPAXI;SALCEDO;CONSUMO;4870992.93;163037.6;92956.53;5126987.06;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
